COVIDSeq_Seq_ID,Sample_ID,Date,Site,BQ.1.1,XBB.1.5,BQ.1,XBB,BA.5,BN.1,BF.7,BA.2.75,BA.5.2.6,BF.11,BA.4.6,BA.2,BA.2.75.2,BA.4,BA.1.1,B.1.1.529,BA.2.12.1,Delta,Other_recombinants,Other,Filtered_reads
I99422,AWMP7,230206,ASUP01,0.716438012,0.580871596,0.500010712,0.566566389,0.091094996,0.499622979,0.412682845,0.013953837,0.842853552,0.890194899,0.994843428,0.945734581,0.142027082,0.28194156,0.000866435,0.903009424,0.902076038,0.212069554,0.31982,0.777135255,0.137800315
I99423,AWMP8,230206,ASUP02,0.936202387,0.484969711,0.377296801,0.513804748,0.377047123,0.514242171,0.686164168,0.618866344,0.726489602,0.506044616,0.619024134,0.504441596,0.713820708,0.889436253,0.777690169,0.771316948,0.086369929,0.76048349,0.283493351,0.030575194,0.778761742
I99424,AWMP9,230206,ASUP03,0.130904149,0.15624213,0.931553666,0.863381252,0.158129768,0.467839585,0.300108444,0.291555422,0.538275153,0.909314329,0.998063081,0.729752267,0.46284553,0.691948507,0.79858708,0.190010454,0.128156205,0.243689474,0.303656058,0.632475911,0.376517248
I98888,AWMT405,230206,ASUT01,0.433013562,0.56945917,0.739602692,0.477695186,0.216936294,0.02467898,0.486704999,0.407021263,0.622705138,0.970961248,0.461949325,0.653954806,0.037002802,0.013967532,0.378681346,0.829322452,0.186935932,0.423138894,0.773730939,0.069417174,0.680669537
I98889,AWMT406,230206,ASUT05,0.939111038,0.608022117,0.97917341,0.432251403,0.220399362,0.509753364,0.890666613,0.844379846,0.154602917,0.13568394,0.35283305,0.370827548,0.021499749,0.855252262,0.412946397,0.346223101,0.143366363,0.03126578,0.42108846,0.004575805,0.589924063
I98890,AWMT407,230206,ASUT06,0.103413264,0.453529756,0.545453316,0.417331492,0.931565747,0.325771404,0.725579446,0.797792791,0.670034215,0.555531112,0.606576042,0.948735373,0.854943727,0.373726942,0.9824429,0.042776152,0.578645225,0.942517972,0.294340282,0.318287561,0.640011039
I98891,AWMT408,230206,ASUT04,0.697615377,0.757270505,0.086508716,0.041922669,0.8426982,0.60612582,0.481726107,0.345116533,0.779102721,0.947419875,0.461484456,0.0632318,0.741326064,0.304052311,0.713579261,0.892126453,0.031642122,0.883615697,0.402465643,0.059867684,0.473262528
I98892,AWMT409,230206,ASUT03,0.62500409,0.961636491,0.201022598,0.800630614,0.135833125,0.04084384,0.1718689,0.680832037,0.996583141,0.852488526,0.497935874,0.224180605,0.152556842,0.830735065,0.807732256,0.109689822,0.083105893,0.451450199,0.377259317,0.008208164,0.19813728
I98893,AWMT410,230206,ASUT07,0.438912181,0.919847045,0.059863034,0.798015062,0.213355723,0.028533518,0.357341564,0.060022493,0.612500602,0.346630507,0.962428236,0.220011791,0.013500567,0.749563399,0.773081452,0.183161525,0.101235529,0.748794422,0.130194059,0.566469828,0.821208043
I98894,AWMT411,230206,ASUT08,0.695890582,0.782110055,0.65852714,0.198434099,0.629158969,0.699052208,0.917640692,0.915338237,0.424191474,0.971605248,0.88462336,0.874019435,0.266946551,0.553820841,0.908175736,0.700730875,0.613334363,0.369406574,0.648701971,0.830908185,0.18126626
I98895,AWMT412,230206,ASUT09,0.041891252,0.292331963,0.106110031,0.062164029,0.331361076,0.400776756,0.055928913,0.875234599,0.794927008,0.576985895,0.9298864,0.231110523,0.446233563,0.169657531,0.414214982,0.922295181,0.152387256,0.746490538,0.116679056,0.509616017,0.079985627
I98896,AWMT413,230206,ASUT10,0.817025911,0.385239265,0.173782076,0.939377919,0.382384663,0.720031593,0.167744796,0.622159763,0.105943295,0.905600417,0.448852371,0.860371322,0.48544935,0.113709448,0.365706042,0.752286603,0.907637997,0.750909222,0.833143292,0.306293854,0.747875108
I98897,AWMT414,230206,ASUT11,0.646013664,0.595428887,0.05772168,0.443472705,0.864380181,0.890338859,0.333329519,0.404386615,0.043223983,0.805999509,0.715876109,0.388799769,0.412619508,0.660987367,0.102903667,0.979621787,0.735357257,0.622422795,0.710689913,0.029199336,0.528966382
I98898,AWMT415,230206,ASUT12,0.112849764,0.763098853,0.620423321,0.022555906,0.691750632,0.840168048,0.364120871,0.118655394,0.254291928,0.331616757,0.057977572,0.132683072,0.667527701,0.360140476,0.695317548,0.097549331,0.986388616,0.435961574,0.967075656,0.395520975,0.523570186
I98899,AWMT416,230206,ASUT15,0.282521995,0.562087558,0.609343213,0.28443381,0.503242207,0.255953119,0.146605162,0.866722729,0.629548252,0.717587516,0.350309902,0.801602658,0.404923377,0.476228775,0.035137026,0.505655101,0.946999526,0.585983405,0.684712259,0.444964478,0.06981889
I98900,AWMT417,230206,ASUT14,0.402122951,0.749053323,0.278360002,0.954923937,0.31844739,0.418006199,0.748648187,0.025115694,0.691521634,0.982862474,0.0915855,0.754367949,0.973618673,0.546585184,0.472826918,0.324448982,0.544011418,0.7443962,0.795687442,0.953631299,0.5217873
I98901,AWMT418,230206,ASUT16,0.895462008,0.127121509,0.932111132,0.249069926,0.747042612,0.628569144,0.329293381,0.191175383,0.008566837,0.485881012,0.459594987,0.189890126,0.632904465,0.374242879,0.114669067,0.029798457,0.790766884,0.382754227,0.264867089,0.974004901,0.998708934
I98902,AWMT419,230206,ASUT17,0.12900595,0.268412859,0.567959617,0.450314196,0.672058067,0.038777285,0.941436324,0.982811244,0.291654549,0.436304781,0.594079365,0.638493193,0.893973823,0.956402571,0.26720191,0.746483675,0.717672429,0.394906249,0.933074382,0.002079609,0.65237255
I99109,AWMDT1,230209,ASUDT01,0.323849003,0.086037895,0.342970249,0.791090282,0.528610456,0.988637307,0.227484522,0.276437864,0.115608545,0.765308927,0.289853228,0.6688054,0.478726401,0.632143754,0.196631501,0.760332622,0.303645696,0.433235067,0.855502347,0.825144787,0.557731777
I99105,AWMW1,230209,ASUW01,0.076466109,0.698947252,0.573604874,0.411423021,0.307634,0.30108818,0.06745753,0.959843773,0.950066631,0.521246169,0.090609246,0.59860362,0.975238187,0.22933494,0.537781464,0.169833881,0.462134314,0.776979167,0.692217995,0.377753655,0.393213075
I99106,AWMW2,230209,ASUW02,0.469234296,0.771255893,0.380892258,0.521814151,0.978053982,0.103085382,0.957828968,0.487452958,0.91891466,0.418843799,0.262481884,0.46202773,0.625054713,0.72215012,0.781916914,0.311248453,0.48143956,0.546112935,0.224221089,0.836114142,0.605958774
I99107,AWMW3,230209,ASUW03,0.158395044,0.623885251,0.903986844,0.932812448,0.179045778,0.779634063,0.309339459,0.509593199,0.315269351,0.461945487,0.017747806,0.074406704,0.618120703,0.952316635,0.752518519,0.293976192,0.369385956,0.903883162,0.39035386,0.175008128,0.301514153
I99429,AWMP14,230213,ASUP01,0.702604319,0.134944094,0.529464121,0.013677843,0.894101775,0.479661184,0.675586435,0.469418675,0.273695489,0.38720637,0.082902234,0.467305881,0.792214235,0.312101629,0.233473267,0.782063186,0.65443022,0.047229156,0.802622426,0.61073603,0.143162234
I99430,AWMP15,230213,ASUP02,0.364922178,0.30150868,0.41742987,0.819475361,0.826898877,0.635640022,0.295240893,0.07082703,0.463038822,0.545339142,0.212458992,0.784016395,0.527340801,0.00029497,0.595502595,0.624459249,0.775570271,0.364454436,0.502055559,0.136777382,0.648338654
I99431,AWMP16,230213,ASUP03,0.859611072,0.085914663,0.797767276,0.811064833,0.974483517,0.182238821,0.512187296,0.307933425,0.510550317,0.632752396,0.75228261,0.259615647,0.873089391,0.106072599,0.691621218,0.939870191,0.019625932,0.727738154,0.022524014,0.279437456,0.779816261
I99432,AWMP17,230213,ASUP04,0.774297222,0.722005491,0.176302758,0.2658453,0.869555238,0.801674648,0.671984724,0.567593504,0.403034144,0.703778221,0.436384947,0.966196198,0.431650732,0.998916671,0.075997304,0.020444678,0.971255781,0.889801806,0.025252431,0.034799876,0.253318571
I99433,AWMP18,230213,ASUP05,0.484554061,0.611462152,0.889749824,0.463815755,0.497809909,0.410613412,0.156000613,0.662926339,0.657886297,0.532652061,0.481896867,0.282568758,0.400474619,0.962034435,0.996631495,0.282616523,0.027293007,0.405355489,0.243204447,0.214604382,0.143473665
I99434,AWMP19,230213,ASUP06,0.480760949,0.256136657,0.730146771,0.041878324,0.06258694,0.872834931,0.236230134,0.525239715,0.335506678,0.548471145,0.266385613,0.473788046,0.938701707,0.692032126,0.804322926,0.023737102,0.738794164,0.40031567,0.097175619,0.922987298,0.967558191
I99435,AWMP20,230213,ASUP07,0.385759217,0.327829541,0.922121489,0.078929112,0.07828348,0.684481585,0.073996112,0.501086258,0.005370704,0.847173627,0.46052193,0.547230155,0.032257827,0.271818032,0.929907187,0.023354513,0.212093906,0.301184347,0.627488777,0.974225891,0.082047914
I98903,AWMT420,230213,ASUT01,0.039906384,0.844435283,0.264905443,0.220388811,0.825212241,0.186753179,0.79599853,0.311384496,0.753888448,0.286692233,0.221450344,0.03697787,0.035844863,0.012432561,0.781638594,0.567675725,0.990413066,0.631687151,0.875097444,0.898087352,0.236553011
I98904,AWMT421,230213,ASUT05,0.845786687,0.989535737,0.215149121,0.948891119,0.896543993,0.781694299,0.142951315,0.419273452,0.965362915,0.834447256,0.719712327,0.270085494,0.867512439,0.36293096,0.667389369,0.140344616,0.528752922,0.229336102,0.765375023,0.628525439,0.278051387
I98905,AWMT422,230213,ASUT06,0.21820174,0.234696154,0.781232734,0.294982052,0.0714353,0.719365793,0.018261039,0.430570305,0.12299678,0.830574753,0.616259422,0.367381586,0.269594315,0.367414031,0.228311712,0.255186792,0.236673652,0.009181308,0.666712764,0.86494425,0.218792801
I98906,AWMT423,230213,ASUT02,0.722412525,0.060691341,0.167704767,0.408035679,0.098936377,0.82750979,0.743359355,0.652097992,0.718177992,0.301011263,0.412673181,0.08520902,0.053241649,0.763136753,0.568343185,0.843557927,0.049422133,0.382931885,0.32265321,0.861285062,0.9743385
I98907,AWMT424,230213,ASUT04,0.943687056,0.190760467,0.991901464,0.037376613,0.506464182,0.286337517,0.165166476,0.137657961,0.481070216,0.206217711,0.635828683,0.962640586,0.783502884,0.579898919,0.007761486,0.596927356,0.73397755,0.999832059,0.1722014,0.327822847,0.802820154
I98908,AWMT425,230213,ASUT03,0.932918165,0.947861636,0.417674938,0.86711983,0.284005903,0.178148705,0.87344648,0.361341082,0.280596735,0.479253839,0.949295154,0.932329127,0.472585661,0.457900188,0.547359433,0.695298607,0.938930217,0.134328596,0.503493685,0.009909788,0.842954194
I98909,AWMT426,230213,ASUT07,0.870111064,0.203806828,0.456521876,0.282597307,0.457166484,0.422963543,0.592216211,0.461101406,0.64869008,0.072735118,0.172402033,0.078575727,0.813066098,0.374837505,0.748697619,0.874810595,0.91732557,0.636482928,0.992450755,0.356512207,0.578534789
I98910,AWMT427,230213,ASUT08,0.396170837,0.487135499,0.81268543,0.496742879,0.704291938,0.506759539,0.515302614,0.365522243,0.545194552,0.865114747,0.874913662,0.478773978,0.887046171,0.441650504,0.152488339,0.676683974,0.337581101,0.342700881,0.303067762,0.082594089,0.886888655
I98911,AWMT428,230213,ASUT09,0.376223388,0.510076382,0.042321675,0.592172789,0.859245341,0.099154966,0.550070842,0.512926656,0.271640074,0.922293264,0.272969909,0.195790442,0.99131267,0.967686951,0.862742902,0.476429338,0.750932296,0.454246803,0.949815704,0.301802169,0.969689121
I98912,AWMT429,230213,ASUT10,0.683077038,0.049603799,0.233847695,0.982814387,0.430804583,0.489418074,0.392800112,0.46931572,0.416691544,0.376584681,0.978999581,0.150888701,0.810075178,0.895394606,0.498317568,0.662173573,0.832690993,0.203036601,0.955518787,0.955882744,0.807494354
I98913,AWMT430,230213,ASUT11,0.587786122,0.744266918,0.295897332,0.478682663,0.872236402,0.769854994,0.346977299,0.640533471,0.043240931,0.275792355,0.055824286,0.134422346,0.227936316,0.860429589,0.065958965,0.514095395,0.657973667,0.57045511,0.761538326,0.296830612,0.275385004
I98914,AWMT431,230213,ASUT12,0.822685643,0.24578884,0.240263753,0.856095991,0.410002919,0.909080967,0.952952959,0.421066286,0.477506447,0.005666972,0.680876459,0.689762617,0.526694628,0.541199785,0.228827184,0.900334063,0.070984239,0.94195457,0.67822276,0.495014133,0.114764988
I98915,AWMT432,230213,ASUT15,0.307967969,0.010921423,0.028521108,0.360010368,0.127566581,0.25316053,0.957208252,0.0845015,0.248821726,0.789475514,0.554449429,0.782167254,0.98350179,0.071082167,0.018378753,0.769269463,0.27167249,0.044198634,0.998396442,0.255397057,0.578907445
I98916,AWMT433,230213,ASUT14,0.080892886,0.002740578,0.925221115,0.725217568,0.735486009,0.658241481,0.712982139,0.858939797,0.436655125,0.055981093,0.288526878,0.420228304,0.974569757,0.84572277,0.863977128,0.664087966,0.225156447,0.231742698,0.214412739,0.660855215,0.554102138
I98917,AWMT434,230213,ASUT16,0.020181672,0.446201612,0.420471683,0.788483448,0.013301962,0.717486933,0.626862929,0.59617211,0.007091743,0.244948772,0.683887291,0.459031834,0.185506391,0.959989449,0.406112329,0.562279686,0.429838611,0.61429684,0.602582033,0.578416197,0.919450086
I98918,AWMT435,230213,ASUT17,0.310358336,0.453158391,0.184847535,0.523709546,0.847842463,0.173919088,0.319707522,0.208054394,0.875180565,0.355405075,0.399787282,0.843042946,0.817408996,0.010337817,0.372217079,0.028676901,0.37025527,0.952958858,0.79145698,0.262907081,0.894401773
I99110,AWMDT2,230216,ASUDT01,0.116691026,0.212213408,0.435637667,0.161743261,0.671112289,0.085367651,0.348508993,0.60884867,0.782515706,0.351091921,0.646336568,0.593812538,0.139654063,0.431586846,0.476160875,0.915234571,0.330513921,0.679237705,0.289226425,0.914396103,0.956212524
I99108,AWMW4,230216,ASUW01,0.353545745,0.753767723,0.925549438,0.419462505,0.829687312,0.379522088,0.901172576,0.380247684,0.399155449,0.920793085,0.987731621,0.603970837,0.15679086,0.322974681,0.205521062,0.680198422,0.735915333,0.132698949,0.975691403,0.598543755,0.643724092
I99730,AWMW5,230216,ASUW02,0.672516439,0.061743726,0.517963296,0.579686757,0.0195007,0.94561633,0.079083977,0.172290733,0.506027848,0.400025353,0.201614923,0.37410644,0.615596778,0.764277684,0.435011959,0.987303089,0.004504291,0.047955456,0.927819613,0.732478667,0.647132532
I99731,AWMW6,230216,ASUW03,0.77451586,0.564436158,0.598055941,0.19457581,0.845221945,0.141033037,0.696246932,0.216037873,0.475117991,0.137493702,0.776355576,0.369416143,0.454553235,0.899037084,0.913006468,0.744035495,0.538434989,0.157410246,0.734255011,0.959165045,0.381868971
I99436,AWMP21,230220,ASUP01,0.832521047,0.08364852,0.763888668,0.668635654,0.55630828,0.926337518,0.364379816,0.588601492,0.128466502,0.759408273,0.248409101,0.453660163,0.341733833,0.696795287,0.552643622,0.178864324,0.730582917,0.842664077,0.345563846,0.494523789,0.127504438
I99437,AWMP22,230220,ASUP02,0.102927062,0.899925237,0.870315343,0.071176966,0.660341973,0.509442655,0.012306203,0.947976681,0.226057745,0.178502736,0.040407324,0.909585984,0.158048933,0.285948018,0.438590941,0.438571476,0.57634979,0.359276626,0.823925253,0.58641183,0.294515072
I99438,AWMP23,230220,ASUP03,0.431905263,0.428984335,0.791892191,0.346783081,0.974990796,0.205023506,0.62000901,0.46224178,0.95682841,0.566299524,0.163659443,0.268602779,0.230508193,0.708049459,0.015187751,0.881133614,0.601317586,0.713066277,0.210924057,0.277296881,0.727375526
I99439,AWMP24,230220,ASUP04,0.274702045,0.375127389,0.891581633,0.669808096,0.962261078,0.79970399,0.305468619,0.531847234,0.402294073,0.462117186,0.924027311,0.743635255,0.027554905,0.748096367,0.522580332,0.658606204,0.488693878,0.837751193,0.446753977,0.484972198,0.7477289
I99440,AWMP25,230220,ASUP05,0.648248965,0.909425957,0.095581523,0.928635507,0.539567789,0.205664726,0.008501122,0.291492095,0.558998559,0.53342268,0.665540909,0.012008616,0.165499136,0.040253538,0.34645526,0.726748636,0.664916309,0.701357285,0.96546184,0.087495159,0.977466533
I99441,AWMP26,230220,ASUP06,0.353407261,0.505568008,0.66591821,0.592038011,0.318299121,0.520597886,0.757862813,0.417968779,0.684642254,0.163885475,0.551132697,0.259295769,0.269938033,0.863843202,0.197734184,0.13056939,0.373393926,0.330623086,0.910400948,0.177143805,0.454184309
I99442,AWMP27,230220,ASUP07,0.413805222,0.369086081,0.59327487,0.98448199,0.146801848,0.896481101,0.108328166,0.070285549,0.126509785,0.202547332,0.650420147,0.43986507,0.731141253,0.140451897,0.439920958,0.650118815,0.809530369,0.44513833,0.521991693,0.99849205,0.964542962
I98919,AWMT436,230220,ASUT01,0.025409854,0.002486297,0.161423597,0.941790402,0.868627832,0.175263092,0.980913602,0.010295689,0.458017372,0.581671616,0.325770779,0.632888782,0.896056761,0.357807968,0.481916816,0.425078075,0.856467852,0.941687053,0.359992597,0.217787237,0.951193284
I98920,AWMT437,230220,ASUT05,0.26286368,0.943505721,0.977105682,0.266029772,0.809595363,0.621584109,0.816383121,0.18114451,0.883700092,0.049961978,0.499291852,0.000414961,0.873845873,0.914456033,0.033956014,0.974880564,0.739488272,0.845774541,0.452917755,0.251695034,0.168715367
I98921,AWMT438,230220,ASUT06,0.407802149,0.487380363,0.090661645,0.080971027,0.348411513,0.744483409,0.924855106,0.630569652,0.226887864,0.272341605,0.139864326,0.552885899,0.234558676,0.745203598,0.106131361,0.553432621,0.457129601,0.038581911,0.118295644,0.785162584,0.532713831
I98922,AWMT439,230220,ASUT02,0.265031911,0.320229962,0.982052696,0.352729739,0.177955691,0.039268766,0.226100781,0.461502901,0.252202861,0.566721793,0.684791923,0.435678733,0.672607215,0.001489693,0.754900851,0.988297313,0.514603365,0.221268586,0.364948323,0.679541694,0.958712082
I98923,AWMT440,230220,ASUT04,0.713078083,0.287468998,0.550499426,0.835335187,0.842511096,0.34189122,0.684963784,0.958463869,0.720979101,0.720164017,0.343807807,0.275690763,0.872938787,0.394892905,0.83296916,0.972776894,0.639251445,0.52935396,0.984690573,0.117669906,0.926348032
I98924,AWMT441,230220,ASUT03,0.823918419,0.021069399,0.472478513,0.41289126,0.2744564,0.051252188,0.402849173,0.655518476,0.748350439,0.862525282,0.789469095,0.214665813,0.37393185,0.868230011,0.569238107,0.482443325,0.813001479,0.336854925,0.132904948,0.401438912,0.658673093
I98925,AWMT442,230220,ASUT07,0.700631223,0.396089136,0.935847792,0.490018444,0.606558214,0.734113517,0.191855071,0.874278497,0.429756328,0.242986903,0.430896043,0.009050285,0.697539033,0.182143262,0.884519581,0.860757975,0.261980297,0.147856333,0.162458944,0.356578971,0.470888677
I98926,AWMT443,230220,ASUT08,0.188060158,0.968615508,0.206944079,0.170877724,0.582731715,0.588020974,0.027110439,0.794381712,0.953281126,0.962548089,0.712839249,0.063806311,0.564201077,0.119679629,0.88451252,0.69598106,0.465940901,0.141066338,0.612640667,0.233555347,0.959054197
I98927,AWMT444,230220,ASUT09,0.400331167,0.720666245,0.909794816,0.904642044,0.712262485,0.433014388,0.166357938,0.409909703,0.296619338,0.775975228,0.802337242,0.282889349,0.503508984,0.881349453,0.55786787,0.916993637,0.384646388,0.526441431,0.206049104,0.870332557,0.966008442
I98928,AWMT445,230220,ASUT10,0.154017438,0.98105308,0.354802586,0.227786656,0.194696944,0.001151909,0.981266549,0.677424701,0.248726381,0.335098818,0.397568415,0.717740227,0.822827245,0.48534132,0.695103106,0.957775265,0.334224352,0.587461524,0.158236204,0.316902309,0.786856375
I99099,AWMT446,230220,ASUT11,0.136675444,0.894294041,0.27210205,0.439283506,0.96085568,0.164810112,0.372090864,0.739171038,0.549183522,0.529558506,0.235918485,0.967919455,0.637847965,0.925696304,0.237904774,0.887233317,0.08013923,0.065955881,0.365105266,0.014302458,0.161858826
I99100,AWMT447,230220,ASUT12,0.81946487,0.863609228,0.526190611,0.791458504,0.49623762,0.893520444,0.414603135,0.582249022,0.277233686,0.763251143,0.987342149,0.537133708,0.607450143,0.103324836,0.228957438,0.378056184,0.625414107,0.73593151,0.649872836,0.892194904,0.712002364
I99101,AWMT448,230220,ASUT15,0.852893122,0.866693968,0.507935205,0.456964255,0.199347297,0.079838647,0.41039868,0.685930661,0.084239027,0.027407842,0.982664498,0.390580561,0.601526595,0.993370168,0.283746969,0.810588222,0.153957968,0.980327547,0.111405757,0.40791121,0.597866172
I99103,AWMT450,230220,ASUT16,0.975224525,0.859807417,0.958432586,0.760492475,0.064799758,0.98127506,0.13974971,0.225741025,0.279131652,0.062391826,0.131178441,0.136111104,0.231821805,0.135107456,0.947254456,0.777483469,0.869701472,0.326625566,0.226450842,0.602855387,0.098057611
I99104,AWMT451,230220,ASUT17,0.649595704,0.614185726,0.052848683,0.218721392,0.352359977,0.294469151,0.287771864,0.706155596,0.173153797,0.568455149,0.359580949,0.066900875,0.987160284,0.207448005,0.413321758,0.2200199,0.820857135,0.149167505,0.831035321,0.303815865,0.419430667
I99672,AWMDT3,230222,ASUDT01,0.007417016,0.496636676,0.262331145,0.002846635,0.99391178,0.266014091,0.001321286,0.746704576,0.666291194,0.560723256,0.770981627,0.312732136,0.325697802,0.003464042,0.065067522,0.591969931,0.741187545,0.3706514,0.249633334,0.812028865,0.550414151
I99732,AWMW7,230222,ASUW01,0.143121018,0.303850904,0.581238171,0.399293445,0.210907521,0.860777116,0.810541956,0.21320643,0.096199866,0.688670928,0.659616399,0.816122713,0.364277926,0.515930469,0.240031526,0.761018344,0.91407783,0.040545171,0.284541617,0.359093327,0.301495465
I99733,AWMW8,230222,ASUW02,0.517540993,0.422448815,0.270142572,0.139126716,0.466996924,0.431884338,0.568522953,0.659436155,0.50634155,0.074906171,0.26660739,0.490100448,0.25668595,0.825777028,0.188050898,0.426205338,0.55935772,0.752443479,0.273414822,0.934860289,0.631428521
I99734,AWMW9,230222,ASUW03,0.845889426,0.792621568,0.554724152,0.134161804,0.81357587,0.171295195,0.906490277,0.762627724,0.953809902,0.148433817,0.877687519,0.974410737,0.997947218,0.744083386,0.010764163,0.435900584,0.597791922,0.638744271,0.022295368,0.958487197,0.416032519
I99443,AWMP28,230227,ASUP01,0.067636207,0.30054732,0.793305768,0.143791958,0.024821604,0.858087073,0.51029433,0.38530071,0.455942403,0.216428276,0.022735433,0.499707739,0.817115089,0.218520254,0.370744466,0.866736446,0.371254039,0.527140511,0.884576352,0.525672061,0.857945682
I99444,AWMP29,230227,ASUP02,0.554988393,0.960389875,0.370733926,0.480768576,0.509145353,0.394856911,0.454808019,0.074225894,0.011533794,0.711838377,0.381866875,0.452741096,0.177637517,0.157883409,0.319010838,0.958702027,0.954073816,0.40571969,0.945108104,0.92549816,0.52033841
I99676,AWMP30,230227,ASUP03,0.256970934,0.838383332,0.83547499,0.143546614,0.679196813,0.413676348,0.389631259,0.800425113,0.992288646,0.401875751,0.723145782,0.175798649,0.877854654,0.848781728,0.559003203,0.927056798,0.31211499,0.559307405,0.577375741,0.168853684,0.225298171
I99677,AWMP31,230227,ASUP04,0.971951607,0.855293623,0.993110151,0.753929431,0.98362688,0.301775807,0.283127296,0.11130919,0.735806168,0.173615438,0.101656924,0.809260666,0.989506629,0.720963327,0.078013327,0.094019028,0.831245711,0.619275046,0.679994822,0.477210112,0.847375574
I99679,AWMP32,230227,ASUP05,0.170276897,0.734222124,0.266397235,0.314406886,0.568600698,0.046688869,0.888354842,0.185177669,0.834949054,0.304476002,0.195789371,0.945763729,0.697246035,0.768832601,0.374745541,0.914411434,0.341282107,0.713274511,0.317281938,0.692146059,0.589895849
I99680,AWMP33,230227,ASUP06,0.24194809,0.779727531,0.524736358,0.278083085,0.746382987,0.5567995,0.01462652,0.980908954,0.289693998,0.404580565,0.148316868,0.16696485,0.889966453,0.340652466,0.582810685,0.703018906,0.66448821,0.43358542,0.815409108,0.389227162,0.397744204
I99681,AWMP34,230227,ASUP07,0.667223523,0.87942304,0.639920791,0.191353708,0.723999011,0.605651576,0.436435904,0.646603141,0.811594861,0.667531876,0.959039823,0.477118436,0.086954601,0.515077923,0.269853679,0.618100379,0.177458201,0.711679393,0.529362042,0.522091399,0.513014953
I99400,AWMT452,230227,ASUT01,0.483386453,0.280953355,0.421159046,0.399137998,0.090089061,0.06933331,0.280852063,0.901484542,0.277717315,0.357967568,0.818058281,0.040702612,0.8442982,0.818548316,0.130451586,0.672352768,0.613314989,0.736894885,0.284362185,0.854503955,0.623770501
