Date,Adenovirus,Bocavirus,Coronavirus,Enterovirus,Metapneumovirus,Parainfluenza,Parechovirus,RSV,Rhinovirus,Rubulavirus,Influenza,Polyomavirus,SARS-CoV-2
7/11/22,2818,1381,5515,5137,2365,6268,1652,4123,6440,5323,7190,7292,7459
7/18/22,1405,6938,6685,5513,3332,7335,7323,3046,8619,9260,9483,5313,7218
7/25/22,936,4221,5995,3548,6872,8113,5440,6939,7523,8640,2694,1166,9922
8/1/22,6587,5637,3116,7417,2802,5464,1591,3109,7206,6102,699,41,2771
8/8/22,2543,4483,4465,3359,8345,633,6704,7660,4724,573,168,2002,9000
8/9/22,2304,2087,8303,3197,3650,405,1577,4935,8015,8091,9779,2537,5082
8/10/22,8409,5323,7385,5497,543,4872,2853,1214,9793,7452,3130,235,3780
8/16/22,9289,7855,6197,7178,9549,4109,6112,2555,9830,3838,5517,3378,1066
8/22/22,7108,7869,19,8777,2903,39,3755,3161,9980,8513,8564,7134,3269
8/29/22,3746,2576,9414,8275,809,6085,8289,7593,5602,843,5711,140,4903
9/6/22,4438,3140,8327,3480,1648,6976,15,1088,9676,4127,9996,8013,923
9/12/22,7653,379,9566,9823,1056,8767,2108,4211,2706,3895,5610,9435,7535
9/19/22,780,7701,7525,944,9760,3677,5792,3427,2233,8113,8743,6526,6576
9/26/22,5115,8159,7235,8848,7733,5815,445,8509,4419,3035,9866,3709,3882
10/3/22,9465,6186,7678,5854,2409,7800,491,7310,446,4562,4251,771,3055
10/10/22,8909,6973,5819,2382,1655,9595,9741,5627,3336,4860,9956,5955,6523
10/17/22,819,872,2842,4808,847,4909,8905,2739,3372,2659,1660,3467,9049
10/24/22,2783,340,1154,9158,6947,5241,9709,2839,2559,9342,4819,6941,4006
10/31/22,6932,9439,2271,5468,7840,4391,4196,2647,4998,8478,7549,1702,5861
11/7/22,4395,9144,9548,8439,2311,9827,5193,1541,2450,5279,3436,4211,9023
11/14/22,6457,34,9168,6613,9546,7049,1961,4789,2521,12,2876,9035,8202
11/21/22,5387,8396,7125,1473,8925,114,8989,167,6665,7390,6633,3951,7303
11/29/22,7455,1469,2316,5507,3877,3549,7892,1047,7312,7733,4732,7144,4399
12/5/22,6853,5398,7596,1277,4952,3457,2627,8113,4023,4105,2979,536,8416
12/12/22,7051,3533,5112,8069,4329,6702,7666,2642,3288,2432,6836,6419,9364
12/19/22,5621,6216,6964,2995,3027,3271,3061,9827,8583,377,5644,9546,1620
12/28/22,9698,1057,3924,8369,9280,8636,8267,4840,1625,7066,7489,8472,9728
1/3/23,7566,9422,827,7441,4444,8641,4919,4605,5828,5566,1872,398,2250
1/9/23,1418,1850,7026,9838,1152,7738,3686,4446,8650,432,3500,8342,7313
1/17/23,8230,7047,5806,7770,7814,7737,8600,9701,9709,2850,5678,2255,8552
1/23/23,9228,9627,9398,7636,3385,9538,9497,3884,651,1991,1115,5522,6155
1/30/23,7859,8512,2505,3266,673,217,8301,8020,358,3403,4420,8813,9112
2/6/23,1839,9234,4200,3593,6454,7600,3812,6095,930,1379,1907,911,7218
2/13/23,4237,4094,4659,4753,6363,551,4987,8749,9342,6764,9438,7781,4684
2/20/23,4506,3064,4321,585,8417,1455,3375,8662,4415,2209,759,6815,1549
2/27/23,2367,1585,2624,3492,8548,1620,9357,2094,7051,4335,3489,1472,3746
3/6/23,1628,7711,795,5860,5977,7660,8065,6244,5954,4645,8295,1207,4904
3/13/23,3197,2579,4905,7679,8070,1203,5856,5682,2560,7949,4286,1029,3513
3/20/23,6942,3222,7592,8306,5422,260,678,4408,5023,4773,9421,4219,2157
3/27/23,9301,2444,655,9272,9962,4513,3829,7481,3558,1026,5711,1458,3231
4/3/23,5227,4502,1064,1015,291,1428,9741,9057,9083,6962,1927,4623,5731
